,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
2565,2856,909256010,50,RL,84.0,10164,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1939,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,Av,LwQ,646.0,Unf,0.0,346.0,992.0,GasA,Fa,Y,SBrkr,992,473,0,1465,0.0,0.0,2,0,3,1,TA,6,Typ,2,TA,Detchd,1939.0,Unf,1.0,240.0,TA,TA,Y,0,126,0,0,0,0,,,,0,7,2006,WD ,Normal,131000
32,38,528112020,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0,50,0,0,0,0,,,,0,5,2010,WD ,Normal,306000
1600,1791,528441080,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,1686.0,GasA,Ex,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD ,Normal,307000
2107,2352,527356060,60,RL,85.0,11475,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,550.0,Unf,0.0,163.0,713.0,GasA,TA,Y,SBrkr,811,741,0,1552,1.0,0.0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1975.0,RFn,2.0,434.0,TA,TA,Y,209,208,0,0,0,0,,MnPrv,,0,2,2006,WD ,Normal,179900
2550,2839,908275220,20,RL,60.0,8172,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1955,1990,Hip,CompShg,WdShing,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,167.0,Unf,0.0,697.0,864.0,GasA,TA,Y,SBrkr,864,0,0,864,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1957.0,Unf,2.0,572.0,TA,TA,N,0,0,0,0,0,0,,,,0,4,2006,WD ,Normal,115000
739,826,906380100,20,RL,122.0,11923,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1800.0,1800.0,GasA,Ex,Y,SBrkr,1800,0,0,1800,0.0,0.0,2,0,2,1,Ex,7,Typ,0,,Attchd,2007.0,Fin,2.0,702.0,TA,TA,Y,288,136,0,0,0,0,,,,0,5,2009,WD ,Normal,239000
1771,1975,902105110,70,RM,60.0,9600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,1910,2002,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,Gd,BrkTil,Fa,Fa,No,Unf,0.0,Unf,0.0,264.0,264.0,GasA,Ex,Y,SBrkr,768,664,0,1432,0.0,0.0,2,0,2,1,TA,7,Typ,0,,Detchd,1910.0,Unf,2.0,360.0,TA,Gd,Y,270,0,112,0,0,0,,GdPrv,,0,5,2007,WD ,Abnorml,132000
1132,1259,535380140,50,RL,60.0,10836,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,892.0,892.0,GasA,Ex,Y,SBrkr,1254,182,0,1436,0.0,1.0,1,0,3,1,TA,7,Typ,1,Gd,Detchd,1968.0,Unf,4.0,1488.0,Fa,TA,N,0,0,100,0,0,0,,GdWo,,0,6,2008,WD ,Normal,139000
2021,2251,914460020,20,RL,80.0,10000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,166.0,Gd,TA,PConc,Gd,TA,No,GLQ,585.0,Unf,0.0,856.0,1441.0,GasA,Ex,Y,SBrkr,1392,0,0,1392,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2002.0,Fin,3.0,650.0,TA,TA,Y,168,49,0,0,0,0,,,,0,12,2007,WD ,Normal,215000
2274,2538,534202020,20,RL,,9759,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,799.0,Unf,0.0,252.0,1051.0,GasA,TA,Y,SBrkr,1051,0,0,1051,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1966.0,RFn,1.0,264.0,TA,TA,Y,182,88,0,0,0,0,,,,0,3,2006,WD ,Normal,124400
794,891,908152100,80,RL,72.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,BrkFace,255.0,TA,TA,CBlock,TA,TA,Av,ALQ,631.0,Unf,0.0,410.0,1041.0,GasA,Ex,Y,SBrkr,1125,0,0,1125,1.0,0.0,1,0,3,1,TA,6,Typ,1,Fa,Detchd,1977.0,Unf,1.0,352.0,TA,TA,Y,296,0,0,0,0,0,,GdWo,,0,10,2009,WD ,Abnorml,125000
